*********************************************
Bottom PCI center location
wci=2.02967e+08Hz,rho_s=0.000624334 meter
*********************************************
jy=52 dx(x)  q_safe=nu(x) sx_inty(x)
0, 2.661e+00, 6.852e+00, 1.710e+00
1, 2.670e+00, 6.852e+00, 1.687e+00
2, 2.674e+00, 6.851e+00, 1.648e+00
3, 2.670e+00, 6.847e+00, 1.589e+00
4, 2.678e+00, 6.842e+00, 1.495e+00
5, 2.683e+00, 6.834e+00, 1.361e+00
6, 2.678e+00, 6.825e+00, 1.175e+00
7, 2.683e+00, 6.814e+00, 9.296e-01
8, 2.683e+00, 6.798e+00, 6.159e-01
9, 2.674e+00, 6.778e+00, 2.405e-01
10, 2.674e+00, 6.751e+00, -1.734e-01
11, 2.661e+00, 6.716e+00, -5.990e-01
12, 2.647e+00, 6.671e+00, -9.853e-01
13, 2.630e+00, 6.619e+00, -1.283e+00
14, 2.613e+00, 6.562e+00, -1.464e+00
15, 2.592e+00, 6.505e+00, -1.527e+00
16, 2.575e+00, 6.451e+00, -1.458e+00
17, 2.559e+00, 6.403e+00, -1.270e+00
18, 2.546e+00, 6.366e+00, -1.307e+00
19, 2.538e+00, 6.340e+00, -2.691e-01
20, 2.534e+00, 6.325e+00, 4.530e-01
21, 2.542e+00, 6.314e+00, 2.503e-01
22, 2.538e+00, 6.305e+00, 4.895e-01
23, 2.534e+00, 6.294e+00, 5.912e-01
24, 2.538e+00, 6.279e+00, 6.129e-01
25, 2.530e+00, 6.261e+00, 5.626e-01
26, 2.522e+00, 6.239e+00, 4.527e-01
27, 2.518e+00, 6.213e+00, 3.024e-01
28, 2.511e+00, 6.185e+00, 1.353e-01
29, 2.503e+00, 6.156e+00, -2.995e-02
30, 2.491e+00, 6.125e+00, -1.845e-01
31, 2.479e+00, 6.093e+00, -3.234e-01
32, 2.472e+00, 6.059e+00, -4.427e-01
33, 2.460e+00, 6.025e+00, -5.446e-01
34, 2.449e+00, 5.990e+00, -6.317e-01
35, 2.438e+00, 5.953e+00, -7.065e-01
36, 2.423e+00, 5.916e+00, -7.702e-01
37, 2.412e+00, 5.878e+00, -8.259e-01
38, 2.398e+00, 5.839e+00, -8.777e-01
39, 2.383e+00, 5.799e+00, -9.027e-01
*********************************************
Top PCI center location
wci=2.02967e+08Hz,rho_s=0.000624334 meter
*********************************************
jy=31 dx(x)  q_safe=nu(x) sx_inty(x)
0, 2.298e+00, 5.962e+00, -1.987e+00
1, 2.311e+00, 5.977e+00, -1.995e+00
2, 2.318e+00, 5.992e+00, -2.028e+00
3, 2.325e+00, 6.009e+00, -2.036e+00
4, 2.335e+00, 6.026e+00, -2.003e+00
5, 2.338e+00, 6.044e+00, -1.907e+00
6, 2.355e+00, 6.062e+00, -1.749e+00
7, 2.355e+00, 6.081e+00, -1.517e+00
8, 2.376e+00, 6.099e+00, -1.207e+00
9, 2.373e+00, 6.112e+00, -8.465e-01
10, 2.383e+00, 6.119e+00, -4.765e-01
11, 2.383e+00, 6.119e+00, -1.311e-01
12, 2.383e+00, 6.114e+00, 1.634e-01
13, 2.383e+00, 6.104e+00, 3.707e-01
14, 2.376e+00, 6.090e+00, 4.478e-01
15, 2.376e+00, 6.074e+00, 3.468e-01
16, 2.373e+00, 6.063e+00, 5.867e-02
17, 2.373e+00, 6.059e+00, -3.614e-01
18, 2.383e+00, 6.063e+00, -8.448e-01
19, 2.383e+00, 6.077e+00, -1.341e+00
20, 2.409e+00, 6.099e+00, -1.806e+00
21, 2.412e+00, 6.130e+00, -2.198e+00
22, 2.438e+00, 6.166e+00, -2.477e+00
23, 2.453e+00, 6.204e+00, -2.644e+00
24, 2.472e+00, 6.241e+00, -2.715e+00
25, 2.495e+00, 6.276e+00, -2.708e+00
26, 2.503e+00, 6.308e+00, -2.614e+00
27, 2.530e+00, 6.337e+00, -2.463e+00
28, 2.534e+00, 6.361e+00, -2.290e+00
29, 2.550e+00, 6.382e+00, -2.116e+00
30, 2.567e+00, 6.402e+00, -1.968e+00
31, 2.575e+00, 6.421e+00, -1.847e+00
32, 2.588e+00, 6.439e+00, -1.746e+00
33, 2.600e+00, 6.455e+00, -1.660e+00
34, 2.613e+00, 6.471e+00, -1.589e+00
35, 2.621e+00, 6.485e+00, -1.528e+00
36, 2.634e+00, 6.498e+00, -1.468e+00
37, 2.643e+00, 6.509e+00, -1.405e+00
38, 2.652e+00, 6.518e+00, -1.337e+00
39, 2.661e+00, 6.525e+00, -1.302e+00
*********************************************
Outside mid-plane location (low field side)
wci=2.02967e+08 Hz,rho_s=0.000624334 meter
*********************************************
jy=41 dx(x)  q_safe=nu(x) sx_inty(x)
0, 1.075e+00, 2.127e+00, 0.000e+00
1, 1.082e+00, 2.126e+00, 0.000e+00
2, 1.075e+00, 2.125e+00, 0.000e+00
3, 1.082e+00, 2.125e+00, 0.000e+00
4, 1.075e+00, 2.125e+00, 0.000e+00
5, 1.082e+00, 2.125e+00, 0.000e+00
6, 1.082e+00, 2.126e+00, 0.000e+00
7, 1.082e+00, 2.126e+00, 0.000e+00
8, 1.082e+00, 2.126e+00, 0.000e+00
9, 1.082e+00, 2.125e+00, 0.000e+00
10, 1.082e+00, 2.123e+00, 0.000e+00
11, 1.082e+00, 2.120e+00, 0.000e+00
12, 1.082e+00, 2.115e+00, 0.000e+00
13, 1.075e+00, 2.109e+00, 0.000e+00
14, 1.075e+00, 2.102e+00, 0.000e+00
15, 1.068e+00, 2.094e+00, 0.000e+00
16, 1.068e+00, 2.087e+00, 0.000e+00
17, 1.068e+00, 2.081e+00, 0.000e+00
18, 1.068e+00, 2.076e+00, 0.000e+00
19, 1.061e+00, 2.073e+00, 0.000e+00
20, 1.068e+00, 2.071e+00, 0.000e+00
21, 1.061e+00, 2.071e+00, 0.000e+00
22, 1.068e+00, 2.072e+00, 0.000e+00
23, 1.068e+00, 2.075e+00, 0.000e+00
24, 1.075e+00, 2.079e+00, 0.000e+00
25, 1.075e+00, 2.083e+00, 0.000e+00
26, 1.075e+00, 2.087e+00, 0.000e+00
27, 1.075e+00, 2.091e+00, 0.000e+00
28, 1.082e+00, 2.094e+00, 0.000e+00
29, 1.082e+00, 2.098e+00, 0.000e+00
30, 1.090e+00, 2.100e+00, 0.000e+00
31, 1.090e+00, 2.102e+00, 0.000e+00
32, 1.090e+00, 2.104e+00, 0.000e+00
33, 1.090e+00, 2.106e+00, 0.000e+00
